Appello di Algoritmi del 18 Settembre 2020

matricola,altopiano,gioco_parentesi,corrected-chordal_lexBFS,TOTALE,
VR419626_id746dxp,25.0,5.0,0.0,30.0,
VR421455_id953lyb,25.0,0.0,0.0,25.0,
VR423431_id022041,25.0,0.0,0.0,25.0,
VR423652_id299avh,25.0,0.0,0.0,25.0,
VR424289_id308myt,0.0,0.0,0.0,0.0,
VR424616_id163zjd,25.0,5.0,20.0,50.0,
VR425420_id945iyb,25.0,0.0,20.0,45.0,
VR431583_id379osm,60.0,0.0,0.0,60.0,
VR433300_id814xih,25.0,5.0,0.0,30.0,
VR436747_id878cue,60.0,5.0,0.0,65.0,
VR439254_id142nxb,60.0,4.0,50.0,114.0,
VR439318_id057zkp,60.0,4.0,40.0,104.0,
VR439637_id088960,0.0,0.0,0.0,0.0,
VR439664_id915qvl,60.0,5.0,0.0,65.0,
VR439666_id715kuw,0.0,0.0,0.0,0.0,
VR439670_id779mhi,0.0,0.0,0.0,0.0,
VR445204_id954ptc,50.0,0.0,10.0,60.0,
VR445261_id096lay,100.0,0.0,0.0,100.0,
VR445263_id603hoc,26.0,0.0,0.0,26.0,
VR445435_id495pug,100.0,0.0,0.0,100.0,
VR445512_id287ipf,0.0,0.0,0.0,0.0,
VR445569_id588nzp,0.0,0.0,0.0,0.0,
VR445639_id956tpd,100.0,5.0,10.0,115.0,
VR445744_id831qkh,25.0,0.0,20.0,45.0,
VR445766_id158clr,100.0,5.0,0.0,105.0,
VR446688_id836pkn,0.0,0.0,0.0,0.0,
VR447268_id713ast,25.0,0.0,0.0,25.0,
VR448249_id765wfu,25.0,1.0,0.0,26.0,
VR449410_id693zhn,100.0,5.0,0.0,105.0,
VR449615_id856hvl,25.0,5.0,0.0,30.0,
VR450864_id939fgd,0.0,5.0,0.0,5.0,
VR451059_id761ugc,0.0,0.0,0.0,0.0,
VR451060_id716xls,100.0,5.0,0.0,105.0,
VR451275_id420ehk,50.0,0.0,0.0,50.0,
VR451562_id473eyb,0.0,0.0,70.0,70.0,
VR455271_id195oqq,0.0,0.0,0.0,0.0,
