VOTI DI ALGORITMI - appello del 14 Luglio 2020

matricola,gioco_triangolo,align_one_string,risparmio,TOTALE,voto
VR419626_id746dxp,1.0,0.0,23.0,24.0,19
VR421455_id953lyb,0.0,0.0,0.0,0.0,nessun voto assegnato
VR424289_id308myt,0.0,0.0,23.0,23.0,19
VR424616_id163zjd,0.0,0.0,23.0,23.0,19
VR431583_id379osm,0.0,0.0,23.0,23.0,19
VR432075_id382mxg,0.0,0.0,0.0,0.0,nessun voto assegnato
VR434292_id791ecg,0.0,0.0,0.0,0.0,nessun voto assegnato
VR439214_id305nlb,0.0,0.0,0.0,0.0,nessun voto assegnato
VR439254_id142nxb,0.0,0.0,22.0,22.0,19
VR439264_id899umx,0.0,0.0,0.0,0.0,nessun voto assegnato
VR439318_id057zkp,0.0,0.0,23.0,23.0,19
VR439664_id915qvl,0.0,0.0,23.0,23.0,19
VR439670_id779mhi,0.0,0.0,0.0,0.0,nessun voto assegnato
VR439678_id330ann,0.0,0.0,23.0,23.0,19
VR445204_id954ptc,1.0,2.0,23.0,26.0,19
VR445261_id096lay,0.0,2.0,23.0,25.0,19
VR445263_id603hoc,0.0,0.0,100.0,100.0,28
VR445435_id495pug,0.0,2.0,35.0,37.0,21
VR445569_id588nzp,0.0,0.0,100.0,100.0,28
VR445639_id956tpd,0.0,2.0,23.0,25.0,19
VR445693_id819lay,0.0,0.0,0.0,0.0,nessun voto assegnato
VR445744_id831qkh,0.0,0.0,5.0,5.0,nessun voto assegnato
VR445766_id158clr,0.0,0.0,23.0,23.0,19
VR447268_id713ast,0.0,0.0,23.0,23.0,19
VR449169_id465vcj,0.0,0.0,0.0,0.0,nessun voto assegnato
VR449615_id856hvl,0.0,2.0,23.0,25.0,19
VR450788_id330lem,0.0,2.0,100.0,102.0,28
VR450936_id867sej,100.0,2.0,100.0,202.0,30L
VR451051_id596wge,0.0,2.0,10.0,12.0,18
VR451060_id716xls,0.0,2.0,23.0,25.0,19
VR451275_id420ehk,0.0,0.0,80.0,80.0,26
VR451562_id473eyb,0.0,32.0,23.0,55.0,23
VR452248_id258mal,0.0,0.0,100.0,100.0,28
VR452297_id439bgm,0.0,32.0,100.0,132.0,30
VR452400_id529gvn,0.0,0.0,23.0,23.0,19
VR455271_id195oqq,0.0,0.0,0.0,0.0,nessun voto assegnato
